Исходное слово,Перевод,Количество упоминаний
grechka,Bahiagrass,23
әсәть,әсәт,11
я,.,3
есть,yes,2
кто,who,2
ладный,ok,2
около,approximately,1
ну,well,1
красиво,beautiful,1
сфоткаяться,take a picture,1
деньга,money,1
ага,Huh,1
понять,captain.,1
заниматься,take up,1
большой,large,1
посмотреть,view,1
нибыть,нибыть,1
ниудь,niude,1
пригласить,invite,1
один,Alone,1
а,a,1
место,Yer,1
там,there,1
сходить,go,1
сам,self,1
дать,let,1
вы,vy,1
думать,think,1
бирһә,biryas,1
алла,Alla,1
барыһын,barsHyn,1
йәйгеһич,iaigeevich,1
игнорить,ignore,1
рахмат,Rakhmat.,1
немного,few,1
но,Not edged,1
как,as,1
вроде,sort,1
бармы,barmas,1
акс,AS,1
делать,make,1
че,th,1
поговорить,to chat.,1
мама,Mama,1
отправить,Send,1
надо,надо,1
вещь,thing,1
приехать,go far,1
ещё,more,1
когда,when,1
они,Oni,1
у,y,1
спросить,to ask,1
ты,ration,1
